Player,Position,Team,College
Cordarrelle Patterson,Running Back,Pittsburgh Steelers,Tennessee
Trey Smith,Guard,Kansas City Chiefs,Tennessee
Cameron Sutton,Cornerback,Pittsburgh Steelers,Tennessee
Darrell Taylor,Defensive End,Chicago Bears,Tennessee
Alontae Taylor,Cornerback,New Orleans Saints,Tennessee
Cedric Tillman,Wide Receiver,Cleveland Browns,Tennessee
Shy Tuttle,Defensive Tackle,Carolina Panthers,Tennessee
Dee Williams,Cornerback,New York Giants,Tennessee
Darnell Wright,Offensive Tackle,Chicago Bears,Tennessee
Jaylen Wright,Running Back,Miami Dolphins,Tennessee
Byron Young,Linebacker,Los Angeles Rams,Tennessee
Andrew Beck,Fullback,Houston Texans,Texas
Kris Boyd,Cornerback,Houston Texans,Texas
Keondre Coburn,Defensive Tackle,Tennessee Titans,Texas
Sam Cosmi,Guard,Washington Commanders,Texas
Cameron Dicker,Place kicker,Los Angeles Chargers,Texas
Michael Dickson,Punter,Seattle Seahawks,Texas
Devin Duvernay,Wide Receiver,Jacksonville Jaguars,Texas
Sam Ehlinger,Quarterback,Indianapolis Colts,Texas
DeShon Elliott,Safety,Pittsburgh Steelers,Texas
Poona Ford,Defensive Tackle,Los Angeles Chargers,Texas
Jaylan Ford,Linebacker,New Orleans Saints,Texas
D'Onta Foreman,Running Back,Cleveland Browns,Texas
Jordan Hicks,Linebacker,Cleveland Browns,Texas
Lil'Jordan Humphrey,Wide Receiver,Denver Broncos,Texas
Collin Johnson,Wide Receiver,Chicago Bears,Texas
Roschon Johnson,Running Back,Chicago Bears,Texas
Brandon Jones,Safety,Denver Broncos,Texas
Christian Jones,Offensive Tackle,Arizona Cardinals,Texas
P.J. Locke,Safety,Denver Broncos,Texas
Adonai Mitchell,Wide Receiver,Indianapolis Colts,Texas
Byron Murphy II,Defensive Tackle,Seattle Seahawks,Texas
Moro Ojomo,Defensive Tackle,Philadelphia Eagles,Texas
Charles Omenihu,Defensive End,Kansas City Chiefs,Texas
Joseph Ossai,Defensive End,Cincinnati Bengals,Texas
Adrian Phillips,Safety,New England Patriots,Texas
Malcolm Roach,Defensive Tackle,Denver Broncos,Texas
Bijan Robinson,Running Back,Atlanta Falcons,Texas
Keilan Robinson,Running Back,Jacksonville Jaguars,Texas
Ja'Tavion Sanders,Tight End,Carolina Panthers,Texas
Brenden Schooler,Safety,New England Patriots,Texas
T'Vondre Sweat,Defensive Tackle,Tennessee Titans,Texas
Justin Tucker,Place kicker,Baltimore Ravens,Texas
Jordan Whittington,Wide Receiver,Los Angeles Rams,Texas
Xavier Worthy,Wide Receiver,Kansas City Chiefs,Texas
De'Von Achane,Running Back,Miami Dolphins,Texas A&M
Bobby Brown III,Defensive Tackle,Los Angeles Rams,Texas A&M
Micheal Clemons,Defensive End,New York Jets,Texas A&M
Edgerrin Cooper,Linebacker,Green Bay Packers,Texas A&M
Tyrel Dodson,Linebacker,Miami Dolphins,Texas A&M
Jermaine Eluemunor,Guard,New York Giants,Texas A&M
Mike Evans,Wide Receiver,Tampa Bay Buccaneers,Texas A&M
Myles Garrett,Defensive End,Cleveland Browns,Texas A&M
Kenyon Green,Guard,Houston Texans,Texas A&M
Germain Ifedi,Guard,Cleveland Browns,Texas A&M
McKinnley Jackson,Defensive Tackle,Cincinnati Bengals,Texas A&M
Buddy Johnson,Linebacker,Dallas Cowboys,Texas A&M
Antonio Johnson,Safety,Jacksonville Jaguars,Texas A&M
Jaylon Jones,Cornerback,Indianapolis Colts,Texas A&M
Nnamdi Madubuike,Defensive Tackle,Baltimore Ravens,Texas A&M
Braden Mann,Punter,Philadelphia Eagles,Texas A&M
Jake Matthews,Offensive Tackle,Atlanta Falcons,Texas A&M
Ryan McCollum,Center,Pittsburgh Steelers,Texas A&M
Erik McCoy,Center,New Orleans Saints,Texas A&M
Von Miller,Linebacker,Buffalo Bills,Texas A&M
Dan Moore Jr.,Offensive Tackle,Pittsburgh Steelers,Texas A&M
Josh Reynolds,Wide Receiver,Jacksonville Jaguars,Texas A&M
Demani Richardson,Safety,Carolina Panthers,Texas A&M
Layden Robinson,Guard,New England Patriots,Texas A&M
Ainias Smith,Wide Receiver,Philadelphia Eagles,Texas A&M
Trayveon Williams,Running Back,Cincinnati Bengals,Texas A&M
Donovan Wilson,Safety,Dallas Cowboys,Texas A&M
Aaron Brewer,Guard,Miami Dolphins,Texas State
Jordyn Brooks,Linebacker,Miami Dolphins,Texas Tech
Myles Cole,Defensive End,Jacksonville Jaguars,Texas Tech
Sam Eguavoen,Linebacker,New York Jets,Texas Tech
Erik Ezukanma,Wide Receiver,Miami Dolphins,Texas Tech
Patrick Mahomes,Quarterback,Kansas City Chiefs,Texas Tech
Tyler Owens,Safety,Washington Commanders,Texas Tech
Terence Steele,Offensive Tackle,Dallas Cowboys,Texas Tech
Dadrion Taylor-Demerson,Safety,Arizona Cardinals,Texas Tech
Broderick Washington,Defensive Tackle,Baltimore Ravens,Texas Tech
Tyree Wilson,Defensive End,Las Vegas Raiders,Texas Tech
Tycen Anderson,Safety,Cincinnati Bengals,Toledo
Reggie Gilliam,Fullback,Buffalo Bills,Toledo
Kareem Hunt,Running Back,Kansas City Chiefs,Toledo
Desjuan Johnson,Defensive End,Los Angeles Rams,Toledo
Quinyon Mitchell,Cornerback,Philadelphia Eagles,Toledo
Storm Norton,Offensive Tackle,Atlanta Falcons,Toledo
Samuel Womack III,Cornerback,Indianapolis Colts,Toledo
Derrick Ansley,Unknown,null Unknown,Troy
Dell Pettus,Safety,New England Patriots,Troy
Javon Solomon,Defensive End,Buffalo Bills,Troy
Kimani Vidal,Running Back,Los Angeles Chargers,Troy
Terry Fontenot,Unknown,null Unknown,Tulane
Jha'Quan Jackson,Wide Receiver,Tennessee Titans,Tulane
Jarius Monroe,Safety,New York Jets,Tulane
Darnell Mooney,Wide Receiver,Atlanta Falcons,Tulane
Cairo Santos,Place kicker,Chicago Bears,Tulane
Tyjae Spears,Running Back,Tennessee Titans,Tulane
Dorian Williams,Linebacker,Buffalo Bills,Tulane
Ryan Wright,Punter,Minnesota Vikings,Tulane
Zaven Collins,Linebacker,Arizona Cardinals,Tulsa
Chris Paul,Guard,Washington Commanders,Tulsa
Tyler Smith,Offensive Tackle,Dallas Cowboys,Tulsa
Chris Hubbard,Guard,New York Giants,UAB
Kadeem Telfort,Offensive Tackle,Green Bay Packers,UAB
Starling Thomas V,Cornerback,Arizona Cardinals,UAB
Darious Williams,Cornerback,Los Angeles Rams,UAB
Ejiro Evero,Unknown,null Unknown,UC Davis
Daniel Whelan,Punter,Green Bay Packers,UC Davis
Jordan Akins,Tight End,Cleveland Browns,UCF
Javon Baker,Wide Receiver,New England Patriots,UCF
Kalia Davis,Defensive Tackle,San Francisco 49ers,UCF
Tylan Grable,Offensive Tackle,Buffalo Bills,UCF
Richie Grant,Safety,Atlanta Falcons,UCF
Shaquill Griffin,Cornerback,Minnesota Vikings,UCF
Mike Hughes,Cornerback,Atlanta Falcons,UCF
Alex Ward,Long Snapper,Los Angeles Rams,UCF
Divaad Wilson,Cornerback,New York Giants,UCF
Alec Anderson,Offensive Tackle,Buffalo Bills,UCLA
Krys Barnes,Linebacker,Arizona Cardinals,UCLA
Jake Bobo,Wide Receiver,Seattle Seahawks,UCLA
Jake Brendel,Center,San Francisco 49ers,UCLA
Zach Charbonnet,Running Back,Seattle Seahawks,UCLA
Kenny Clark,Defensive Tackle,Green Bay Packers,UCLA
Matt Dickerson,Defensive End,Miami Dolphins,UCLA
Greg Dulcich,Tight End,New York Giants,UCLA
Ka'imi Fairbairn,Place kicker,Houston Texans,UCLA
Jon Gaines II,Guard,Arizona Cardinals,UCLA
Darnay Holmes,Cornerback,Las Vegas Raiders,UCLA
Andre James,Center,Las Vegas Raiders,UCLA
Joshua Kelley,Running Back,Tennessee Titans,UCLA
Eric Kendricks,Linebacker,Dallas Cowboys,UCLA
Quentin Lake,Safety,Los Angeles Rams,UCLA
Laiatu Latu,Defensive End,Indianapolis Colts,UCLA
Marcedes Lewis,Tight End,Chicago Bears,UCLA
Atonio Mafi,Guard,Indianapolis Colts,UCLA
Kolton Miller,Offensive Tackle,Las Vegas Raiders,UCLA
Fabian Moreau,Cornerback,Minnesota Vikings,UCLA
Darius Muasau,Linebacker,New York Giants,UCLA
Osa Odighizuwa,Defensive Tackle,Dallas Cowboys,UCLA
Otito Ogbonnia,Defensive Tackle,Los Angeles Chargers,UCLA
Sean Rhyan,Guard,Green Bay Packers,UCLA
Carson Steele,Running Back,Kansas City Chiefs,UCLA
Dorian Thompson-Robinson,Quarterback,Cleveland Browns,UCLA
Folorunso Fatukasi,Defensive Tackle,Houston Texans,UConn
Christian Haynes,Guard,Seattle Seahawks,UConn
Travis Jones,Defensive Tackle,Baltimore Ravens,UConn
Matt Peart,Offensive Tackle,Denver Broncos,UConn
Ryan Van Demark,Offensive Tackle,Buffalo Bills,UConn
Eric Watts,Defensive End,New York Jets,UConn
Nick Williams,Wide Receiver,Denver Broncos,UConn
Austin Ajiake,Linebacker,Indianapolis Colts,UNLV
Jordan Addison,Wide Receiver,Minnesota Vikings,USC
Nelson Agholor,Wide Receiver,Baltimore Ravens,USC
Calen Bullock,Safety,Houston Texans,USC
Sam Darnold,Quarterback,Minnesota Vikings,USC
Justin Dedich,Guard,Los Angeles Rams,USC
Chuma Edoga,Guard,Dallas Cowboys,USC
Talanoa Hufanga,Safety,San Francisco 49ers,USC
Adoree' Jackson,Cornerback,New York Giants,USC
Jarrett Kingston,Offensive Tackle,Carolina Panthers,USC
Drake London,Wide Receiver,Atlanta Falcons,USC
Kana'i Mauga,Linebacker,Las Vegas Raiders,USC
Uchenna Nwosu,Linebacker,Seattle Seahawks,USC
Michael Pittman Jr.,Wide Receiver,Indianapolis Colts,USC
Isaiah Pola-Mao,Safety,Las Vegas Raiders,USC
Christian Roland-Wallace,Cornerback,Kansas City Chiefs,USC
JuJu Smith-Schuster,Wide Receiver,Kansas City Chiefs,USC
Amon-Ra St. Brown,Wide Receiver,Detroit Lions,USC
Jay Tufele,Defensive Tackle,Cincinnati Bengals,USC
Marlon Tuipulotu,Defensive Tackle,Kansas City Chiefs,USC
Tuli Tuipulotu,Linebacker,Los Angeles Chargers,USC
Alijah Vera-Tucker,Guard,New York Jets,USC
Andrew Vorhees,Guard,Baltimore Ravens,USC
Leonard Williams,Defensive End,Seattle Seahawks,USC
Caleb Williams,Quarterback,Chicago Bears,USC
Robert Woods,Wide Receiver,Houston Texans,USC
Jackson Barton,Offensive Tackle,Arizona Cardinals,Utah
Cody Barton,Linebacker,Denver Broncos,Utah
Cole Bishop,Safety,Buffalo Bills,Utah
Julian Blackmon,Safety,Indianapolis Colts,Utah
Garett Bolles,Offensive Tackle,Denver Broncos,Utah
Britain Covey,Wide Receiver,Philadelphia Eagles,Utah
Mohamoud Diabate,Linebacker,Cleveland Browns,Utah
Jonah Elliss,Linebacker,Denver Broncos,Utah
Matt Gay,Place kicker,Indianapolis Colts,Utah
Tyler Huntley,Quarterback,Miami Dolphins,Utah
Jaylon Johnson,Cornerback,Chicago Bears,Utah
Dalton Kincaid,Tight End,Buffalo Bills,Utah
Sataoa Laumea,Offensive Tackle,Seattle Seahawks,Utah
Devin Lloyd,Linebacker,Jacksonville Jaguars,Utah
Tim Patrick,Wide Receiver,Detroit Lions,Utah
Clark Phillips III,Cornerback,Atlanta Falcons,Utah
Nephi Sewell,Linebacker,New Orleans Saints,Utah
Sione Vaki,Running Back,Detroit Lions,Utah
Devaughn Vele,Wide Receiver,Denver Broncos,Utah
Marcus Williams,Safety,Baltimore Ravens,Utah
Jordan Love,Quarterback,Green Bay Packers,Utah State
Deven Thompkins,Wide Receiver,Carolina Panthers,Utah State
Nick Vigil,Linebacker,Dallas Cowboys,Utah State
Bobby Wagner,Linebacker,Washington Commanders,Utah State
Aaron Jones,Running Back,Minnesota Vikings,UTEP
Elijah Klein,Guard,Tampa Bay Buccaneers,UTEP
Tyrice Knight,Linebacker,Seattle Seahawks,UTEP
Andrew Meyer,Center,Miami Dolphins,UTEP
Roy Robertson-Harris,Defensive Tackle,Seattle Seahawks,UTEP
Spencer Burford,Offensive Tackle,San Francisco 49ers,UTSA
Riq Woolen,Cornerback,Seattle Seahawks,UTSA
Kenny Moore II,Cornerback,Indianapolis Colts,Valdosta State
Khari Blasingame,Fullback,Philadelphia Eagles,Vanderbilt
Oren Burks,Linebacker,Philadelphia Eagles,Vanderbilt
Adam Butler,Defensive Tackle,Las Vegas Raiders,Vanderbilt
Zach Cunningham,Linebacker,Denver Broncos,Vanderbilt
Matthew Hayball,Punter,New Orleans Saints,Vanderbilt
Dayo Odeyingbo,Defensive End,Indianapolis Colts,Vanderbilt
Anfernee Orji,Linebacker,New Orleans Saints,Vanderbilt
Trent Sherfield Sr.,Wide Receiver,Minnesota Vikings,Vanderbilt
Justin Skule,Offensive Tackle,Tampa Bay Buccaneers,Vanderbilt
Ke'Shawn Vaughn,Running Back,San Francisco 49ers,Vanderbilt
Christian Benford,Cornerback,Buffalo Bills,Villanova
Tanoh Kpassagnon,Defensive End,New Orleans Saints,Villanova
Joey Blount,Safety,Arizona Cardinals,Virginia
Chris Glaser,Guard,Chicago Bears,Virginia
Rodney McLeod Jr.,Safety,Cleveland Browns,Virginia
Morgan Moses,Offensive Tackle,New York Jets,Virginia
Charles Snowden,Defensive End,Las Vegas Raiders,Virginia
Juan Thornhill,Safety,Cleveland Browns,Virginia
Brent Urban,Defensive End,Baltimore Ravens,Virginia
Malik Washington,Wide Receiver,Miami Dolphins,Virginia
Dontayvion Wicks,Wide Receiver,Green Bay Packers,Virginia
Olamide Zaccheaus,Wide Receiver,Washington Commanders,Virginia
Amare Barno,Linebacker,Carolina Panthers,Virginia Tech
Raheem Blackshear,Running Back,Carolina Panthers,Virginia Tech
Chuck Clark,Safety,New York Jets,Virginia Tech
Chamarri Conner,Safety,Kansas City Chiefs,Virginia Tech
Divine Deablo,Linebacker,Las Vegas Raiders,Virginia Tech
Tremaine Edmunds,Linebacker,Chicago Bears,Virginia Tech
Caleb Farley,Cornerback,Carolina Panthers,Virginia Tech
Kendall Fuller,Cornerback,Miami Dolphins,Virginia Tech
Khalil Herbert,Running Back,Cincinnati Bengals,Virginia Tech
Brock Hoffman,Center,Dallas Cowboys,Virginia Tech
Yosh Nijman,Offensive Tackle,Carolina Panthers,Virginia Tech
Tim Settle Jr.,Defensive Tackle,Houston Texans,Virginia Tech
Joey Slye,Place kicker,New England Patriots,Virginia Tech
Lecitus Smith,Center,New England Patriots,Virginia Tech
Greg Stroman Jr.,Cornerback,New York Giants,Virginia Tech
Tyrod Taylor,Quarterback,New York Jets,Virginia Tech
Wyatt Teller,Guard,Cleveland Browns,Virginia Tech
Cam Gill,Linebacker,Carolina Panthers,Wagner
Titus Leo,Linebacker,New England Patriots,Wagner
Chris Williams,Defensive Tackle,Chicago Bears,Wagner
Boogie Basham,Linebacker,New York Giants,Wake Forest
Jessie Bates III,Safety,Atlanta Falcons,Wake Forest
Greg Dortch,Wide Receiver,Arizona Cardinals,Wake Forest
Michael Jurgens,Center,Minnesota Vikings,Wake Forest
Malik Mustapha,Safety,San Francisco 49ers,Wake Forest
Justin Strnad,Linebacker,Denver Broncos,Wake Forest
Ja'Sir Taylor,Cornerback,Los Angeles Chargers,Wake Forest
Zach Tom,Guard,Green Bay Packers,Wake Forest
Kobie Turner,Defensive Tackle,Los Angeles Rams,Wake Forest
Blake Whiteheart,Tight End,Cleveland Browns,Wake Forest
Corey Ballentine,Cornerback,Green Bay Packers,Washburn
Kyle Hinton,Guard,Atlanta Falcons,Washburn
Trey Adams,Offensive Tackle,Buffalo Bills,Washington
Budda Baker,Safety,Arizona Cardinals,Washington
Jake Browning,Quarterback,Cincinnati Bengals,Washington
Myles Bryant,Cornerback,Houston Texans,Washington
Devin Culp,Tight End,Tampa Bay Buccaneers,Washington
Will Dissly,Tight End,Los Angeles Chargers,Washington
Greg Gaines,Defensive Tackle,Tampa Bay Buccaneers,Washington
Kyler Gordon,Cornerback,Chicago Bears,Washington
Dominique Hampton,Safety,Washington Commanders,Washington
Kevin King,Cornerback,Atlanta Falcons,Washington
Trent McDuffie,Cornerback,Kansas City Chiefs,Washington
Kaleb McGary,Offensive Tackle,Atlanta Falcons,Washington
Jalen McMillan,Wide Receiver,Tampa Bay Buccaneers,Washington
Elijah Molden,Cornerback,Los Angeles Chargers,Washington
Byron Murphy Jr.,Cornerback,Minnesota Vikings,Washington
Rome Odunze,Wide Receiver,Chicago Bears,Washington
Levi Onwuzurike,Defensive End,Detroit Lions,Washington
Cade Otton,Tight End,Tampa Bay Buccaneers,Washington
Michael Penix Jr.,Quarterback,Atlanta Falcons,Washington
Dante Pettis,Wide Receiver,New Orleans Saints,Washington
Ja'Lynn Polk,Wide Receiver,New England Patriots,Washington
Taylor Rapp,Safety,Buffalo Bills,Washington
Roger Rosengarten,Offensive Tackle,Baltimore Ravens,Washington
Drew Sample,Tight End,Cincinnati Bengals,Washington
Coleman Shelton,Center,Chicago Bears,Washington
Keith Taylor Jr.,Cornerback,Kansas City Chiefs,Washington
Joe Tryon-Shoyinka,Linebacker,Tampa Bay Buccaneers,Washington
Ezekiel Turner,Linebacker,Detroit Lions,Washington
Edefuan Ulofoshio,Linebacker,Buffalo Bills,Washington
Vita Vea,Defensive Tackle,Tampa Bay Buccaneers,Washington
Luke Wattenberg,Center,Denver Broncos,Washington
River Cracraft,Wide Receiver,Miami Dolphins,Washington State
Andre Dillard,Offensive Tackle,Green Bay Packers,Washington State
Daniel Ekuale,Defensive Tackle,New England Patriots,Washington State
Daiyan Henley,Linebacker,Los Angeles Chargers,Washington State
Jaden Hicks,Safety,Kansas City Chiefs,Washington State
Brennan Jackson,Linebacker,Los Angeles Rams,Washington State
Abraham Lucas,Offensive Tackle,Seattle Seahawks,Washington State
Frankie Luvu,Linebacker,Washington Commanders,Washington State
Chau Smith-Wade,Cornerback,Carolina Panthers,Washington State
Jalen Thompson,Safety,Arizona Cardinals,Washington State
Anthony Pittman,Linebacker,Detroit Lions,Wayne State (MI)
Taron Johnson,Cornerback,Buffalo Bills,Weber State
Winston Reid,Linebacker,Cleveland Browns,Weber State
Jonah Williams,Defensive End,Detroit Lions,Weber State
Tyreek Hill,Wide Receiver,Miami Dolphins,West Alabama
Beanie Bishop Jr.,Cornerback,Pittsburgh Steelers,West Virginia
Rasul Douglas,Cornerback,Buffalo Bills,West Virginia
Bryce Ford-Wheaton,Wide Receiver,New York Giants,West Virginia
Zach Frazier,Center,Pittsburgh Steelers,West Virginia
Mark Glowinski,Guard,Indianapolis Colts,West Virginia
David Long Jr.,Linebacker,Detroit Lions,West Virginia
Colton McKivitz,Offensive Tackle,San Francisco 49ers,West Virginia
Geno Smith,Quarterback,Seattle Seahawks,West Virginia
Dante Stills,Defensive Tackle,Arizona Cardinals,West Virginia
Rex Sunahara,Long Snapper,Cleveland Browns,West Virginia
Kyzir White,Linebacker,Arizona Cardinals,West Virginia
Daryl Worley,Cornerback,Tennessee Titans,West Virginia
Khalen Saunders,Defensive Tackle,New Orleans Saints,Western Illinois
Malachi Corley,Wide Receiver,New York Jets,Western Kentucky
Kahlef Hailassie,Cornerback,Cleveland Browns,Western Kentucky
Tyler Higbee,Tight End,Los Angeles Rams,Western Kentucky
Devon Key,Safety,Denver Broncos,Western Kentucky
DeAngelo Malone,Linebacker,Atlanta Falcons,Western Kentucky
Brodric Martin,Defensive Tackle,Detroit Lions,Western Kentucky
Jordan Meredith,Guard,Las Vegas Raiders,Western Kentucky
Bailey Zappe,Quarterback,Cleveland Browns,Western Kentucky
Mike Caliendo,Guard,Kansas City Chiefs,Western Michigan
Corey Davis,Wide Receiver,New York Jets,Western Michigan
Dee Eskridge,Wide Receiver,Miami Dolphins,Western Michigan
Marshawn Kneeland,Defensive End,Dallas Cowboys,Western Michigan
Jaylon Moore,Guard,San Francisco 49ers,Western Michigan
Taylor Moton,Offensive Tackle,Carolina Panthers,Western Michigan
Robert Spillane,Linebacker,Las Vegas Raiders,Western Michigan
Luke Rhodes,Long Snapper,Indianapolis Colts,William & Mary
Colby Sorsdal,Offensive Tackle,Detroit Lions,William & Mary
Andrew Trainer,Offensive Tackle,Los Angeles Chargers,William & Mary
Ethan Evans,Punter,Los Angeles Rams,Wingate
Braelon Allen,Running Back,New York Jets,Wisconsin
Zack Baun,Linebacker,Philadelphia Eagles,Wisconsin
Keeanu Benton,Defensive Tackle,Pittsburgh Steelers,Wisconsin
Tyler Biadasz,Center,Washington Commanders,Wisconsin
Tanor Bortolini,Guard,Indianapolis Colts,Wisconsin
Leo Chenal,Linebacker,Kansas City Chiefs,Wisconsin
Michael Deiter,Guard,Washington Commanders,Wisconsin
T.J. Edwards,Linebacker,Chicago Bears,Wisconsin
David Edwards,Guard,Buffalo Bills,Wisconsin
Alex Erickson,Wide Receiver,New England Patriots,Wisconsin
Jake Ferguson,Tight End,Dallas Cowboys,Wisconsin
Rob Havenstein,Offensive Tackle,Los Angeles Rams,Wisconsin
Nick Herbig,Linebacker,Pittsburgh Steelers,Wisconsin
Alec Ingold,Fullback,Miami Dolphins,Wisconsin
Isaiahh Loudermilk,Defensive Tackle,Pittsburgh Steelers,Wisconsin
Maema Njongmeta,Linebacker,Cincinnati Bengals,Wisconsin
Dare Ogunbowale,Running Back,Houston Texans,Wisconsin
Jack Sanborn,Linebacker,Chicago Bears,Wisconsin
Jonathan Taylor,Running Back,Indianapolis Colts,Wisconsin
Joe Tippmann,Center,New York Jets,Wisconsin
Andrew Van Ginkel,Linebacker,Minnesota Vikings,Wisconsin
Cole Van Lanen,Offensive Tackle,Jacksonville Jaguars,Wisconsin
T.J. Watt,Linebacker,Pittsburgh Steelers,Wisconsin
Russell Wilson,Quarterback,Pittsburgh Steelers,Wisconsin
Kevin Zeitler,Guard,Detroit Lions,Wisconsin
Quinn Meinerz,Guard,Denver Broncos,Wisconsin-Whitewater
Josh Allen,Quarterback,Buffalo Bills,Wyoming
Frank Crum,Offensive Tackle,Denver Broncos,Wyoming
Tashaun Gipson Sr.,Safety,San Francisco 49ers,Wyoming
Carl Granderson,Defensive End,New Orleans Saints,Wyoming
Chad Muma,Linebacker,Jacksonville Jaguars,Wyoming
Andrew Wingard,Safety,Jacksonville Jaguars,Wyoming
Kiran Amegadjie,Offensive Tackle,Chicago Bears,Yale
Foyesade Oluokun,Linebacker,Jacksonville Jaguars,Yale
Rodney Thomas II,Safety,Indianapolis Colts,Yale
Mason Tipton,Wide Receiver,New Orleans Saints,Yale
Jaleel McLaughlin,Running Back,Denver Broncos,Youngstown State
Drew Ogletree,Tight End,Indianapolis Colts,Youngstown State
Bryce Oliver,Wide Receiver,Tennessee Titans,Youngstown State
